,Agrius convolvuli,Allobaccha sp.1,Anthomyia sp.2-striped,Apis mellifera,Asarkina africana - ericetorum,Bee-like hoverfly sp.1,Bee-like hoverfly sp.2,Black apoidea,Black-white fly,Blue metallic fly,Cacyreus cf. lingeus,Cf paragus sp.,Cinnyris reichenowi,Crambidae sp.2,Crambidae sp.3,Cyanomitra oritis,Erebidae sp.1,Erebinae sp.1,Eupithecia sp.1,Graptomyza sp.1,Graptomyza sp.2 cf (brown),Herminiinae sp.4,Herminiinae sp.8,Ischiodon cf. i. aegyptius,Larentiinae sp.1,Melanostoma sp.1,Melanostoma sp.3,Mylothris jacksoni,Nephele sp.1,Noctuidae sp.1,Noctuidae sp.2,Papilio zoroastres,Plusiinae sp.1,Pterophoridae sp.1,Pterophoridae sp.2,Pyraloidea sp.3,Rhagoletis sp.1,Rhingia brown,Robust fly with yellow abdomenal band,Small orange acalyptratae,Spilomelinae sp.2,Spilomelinae sp.5,Tachinidae sp.1 - red,Tephritoidea sp.1 patt,Tephritoidea sp.2 thick,Tephritoidea sp.3,Tephritoidea sp.3 dots,Tephritoidea sp.4 light,Tephritoidea sp.5,Tephritoidea sp.6,Tephritoidea sp.7,Unidentified micro-moth sp.1,Unidentified micro-moth sp.2,Unidentified micro-moth sp.3,Xanthorhoe sp.5,Yellow abdomen fly,Yellow-spotted fly
ANTSCA,0.002721825,,,0.019234237,,,,,,,,,,,,0.001088733,,,,,,,,,,,,,,,,,,,,,0.000907275,,,,,,,,,,,,,,,,,,,,
BEGPOC,,,,0.000357015,,,,0.000357015,,,,,,,,,,,,0.00428418,,,,,,,,,,,,,,,,,,,,0.000357015,,,,,,,,,,,,,,,,,
CRAVIT,,,,,,0.000343525,0.000343525,,,,0.000343525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DESREP,,,,,,,,,,,,,,,,,,,,,,,,,,0.000240732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISPEN,,5.4E-05,,,,,,,,,,,,,,,,,,0.002241088,,,,,,0.000135,,,,,,,,2.7E-05,,,,,,,,,5.4E-05,,,,,,,,,,,,0.000162,,
EUPSCH,,,,,,,,,4.49E-05,,,,,,,,,,,,4.49E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYPTRI,,,,0.002662267,0.0008585,2.86E-05,,,,,,,,,,,,,,,,,,,,2.86E-05,8.59E-05,,,,,0.0001719,,,,,,,,,,,,,,,,,,,,,,,,0.0002003,5.73E-05
ILEMIT,,,9.21E-05,0.004160721,1.73E-05,,,,3.45E-05,,,9.775E-05,,,,,,,,,,,,1.73E-05,,3.45E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6E-05,,,
IXOFOL,,,,0.00102084,,,,,,,,,,,,,,,,,,,,,,,,,4.419E-05,,,,,,,,,,,,,2.45E-05,,,,,,,,,4.42E-05,,,,,,
NUXCON,,,,0.002193866,,1.57E-06,,,,,,3.14E-06,1.887E-05,,,,,2.83E-05,,,,,,,,,,,4.71E-06,,,,,,,,,,,,,,,,,3.14E-06,,,,,,,,1.257E-05,,,
PAVHOO,,,,0.004744318,0.00053068,,,,9.22E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.219E-05,,,0.000115347,,,,,7.69E-06,,,,,,,,,,,
PLEGLA,,,,0.001677842,0.000908837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHABY,,,,0.013596122,,,,,,,,,,,,,,,,,,,,,,,,,,,1.89E-05,,,,,,,,,,,,,,,,,,,,,,,,,,
SOLMAN,,,3.81E-05,0.002925889,,,,,2.12E-05,,,,,,,,,,8.46E-06,,,8.47E-06,2.96E-05,,,,,,,,,,,,,,,,,,,,,7.613E-05,,,,,,,,4.23E-06,,8.47E-06,,,
SOLNIG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000620347,
STEMAN,,,,,0.000141433,,,,,,,,,,,,,,,,,,,,,,0.000494966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SYZSTA,1.26E-05,,4.21E-06,0.01158869,,,,,,,,,,,1.684E-05,,8.42E-06,4.21E-06,,,4.21E-06,,,,,,,4.21E-06,4.21E-06,3.79E-05,4.21E-06,,,,,,,,2.1E-05,,,,6.731E-05,,1.263E-05,,3.784E-05,1.263E-05,,,,0.00034088,4.21E-06,1.263E-05,,,4.21E-06
VERINS,,,,0.010061856,,,,,,0.000104811,,,,,,,,,,0.000314433,,,,,,,,,,,,,,,,,,,,,,,0.000104811,,,,,,0.000419244,,,,,,,0.000104811,
VERMYR,,,,0.004776893,,,,,,,,,,0.0001042,,,,,,0.0016159,,,,,0.0001216,5.21E-05,,,,,,,0.000156342,,6.95E-05,3.48E-05,,,,,,,0.0001911,,,,,,,5.21E-05,,0.0004342,,0.0004863,,,
