,Anthomyia sp.1-dotted,Anthomyia sp.2-striped,Apis mellifera,Asarkina africana - ericetorum,Black apoidea,Black-white fly,Blue metallic fly,Cf baccha sp.,Cinnyris reichenowi,Cleora sp.1,Crambidae sp.1,Crambidae sp.3,Cyanomitra oritis,Geometridae sp.4,Graptomyza sp.1,Melanostoma sp.1,Melanostoma sp.3,Noctuidae sp.1,"Orangish fly, long ant.",Paschiodes sp.1,Pyraloidea sp.8,Racotis cf squalida,Racotis sp.1,Racotis sp.2,Small black abdomen acalyptratae,Small metallic fly,Small orange acalyptratae,Small striped acalyptratae,Temnora iapygoides,Unidentified micro-moth sp.1,Unidentified micro-moth sp.6,Yellow abdomen fly
ACADEC,,,,,,,,,,,,,,,,0.001528662,,,,,,,,,,,0.001273885,,,,,
BEGPOC,,,0.0004765,,9.53E-05,,,,,,,,,,0.0007624,0.0005718,,,,,,,,,,,,,,,,
CHALAI,,,,0.000402484,,,,,,,8.05E-05,,,,0.000482984,0.000643984,,0.000160992,,,,,0.000160992,0.000161,,,,,0.000160992,,,
CYPMAN,,,8.75E-05,0.0006999,,,,,,,,,,,,2.19E-05,,,,,,,,,,,,,,,,4.38E-05
HABAMO,,,,,,,,,,,,,,,,,,,,,3.43E-05,,,,,,,,,,,
HABMIC,,,,,,,,,,,,,,,0.000272266,,,,0.0002042,,,,,,,1.13E-05,,,,4.54E-05,,
IMPSAK,,,,,,,,,0.00106349,,,,0.000106349,,,,,,,,,,,,,,,,,,,
ISOGLA,,,9.08E-05,9.08E-05,,,,9.08E-05,,,,,,,9.08E-05,0.0005448,,,,,,,,,,,,,,,,0.0001816
MAELAN,,0.000249222,,,,0.000226562,6.8E-05,,,,,,,,9.06E-05,0.000657086,,,,,,,,,,6.8E-05,4.53E-05,,,,,9.07E-05
MOMFOE,,,,,,,,,,,,,,,,,,,,,,,,,0.000432713,,,,,,,
PIPCAP,,,,,,,,,,,,,,,,0.00033298,,,,,,,,,,,,,,,,
PSYPED,,,,,,,0.000133511,,0.003004137,,3.34E-05,,0.000767755,6.68E-05,0.000100134,0.000434022,,0.000267068,,0.000200268,,,,,,,3.34E-05,,0.0001002,,,
RHISPN,,,,,,,,,0.0001847,,,,,,,,,,,1.23E-05,,0.0001109,,,0.000160052,,1.23E-05,,,,,
SCHMAN,6.12E-05,6.8E-05,0.0009384,,,,1.36E-05,,,,,,,,,,,,,,,,,,,,,,,6.8E-06,1.36E-05,
SOLNIG,,,,,,,,,,,,,,,,,0.000534045,,,,,,,,,,,,,,,
SOLTOR,,,,,,,,,,,,,,,,0.00115119,,,,,,,,,,,,,,,,
STEABY,,,1.47E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THARHY,,,,,,,,,,1.9E-05,,3.79E-05,,,,,,,,1.9E-05,,,,,,,,,,,,
ZEHMIN,,,,,,,,,,,,,,,0.002642008,,,,,,,,,,0.000660502,,,0.000660502,,,,
