,Achaea sp.4,Bettonula bettoni,Big black and white apoidea,Big black scoliid,Black amegilla,Black apoidea,Blue amegilla,Brown amegilla,Celaenorrhinus dargei,Ceratrichia clara,Ceratrichia fako,Ceratrichia flava,Crambidae sp.1,Crambidae sp.8,Cramon fly sp.2,Cyanomitra oritis,Episyrphus sp.2,Graptomyza sp.1,Hypeninae sp.17,Macroglossinae sp.1,Macroglossinae sp.7,Melanostoma sp.1,Micropezidae sp.1,Nephele sp.3,Noctuidae sp.23,Noctuidae sp.25,Orange abdomen apoidea,Orange-black fly,Papilio charopus,Pterophoridae sp.1,Pterophoridae sp.3,Pterophoridae sp.7,Pterophoridae sp.8,Robust metallic acalyptratae,Striped apoidea,Syrphidae sp.5,Tephritoidea sp.13,Tephritoidea sp.18,Theretra orpheus,Thin abdomen fly,Thrinchostoma sp.1,Tolna sp.4,Unidentified micro-moth sp.1,Unidentified micro-moth sp.2,Unidentified micro-moth sp.3,Unidentified micro-moth sp.4,Unidentified micro-moth sp.8,Vanessula milca,Xylocopa sp.2
ACASTR,,,,,,,,,,,0.00042735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANCDIF,,,,,,,,,,,,,,,,,,,,,,,0.003671973,,,,,0.000407997,,,,,,0.000135999,,,0.000135999,0.00679995,,,,,,,,,,,
BASALB,,,,0.000786599,,,,,,,,,,,,,9.83E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000196657,,,,
BEGAMP,,,,0.00066912,,0.00050184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0008364,,,,,0.00016728,,,,,,,,0.0008364
BEGMAN,,,,,,0.000249004,,,,,,,,,,,,,,,,0.000373506,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEGOXY,,,,,,4.26E-05,,,,,,,,,,,,,,,,,,,,,0.000255743,,,,,,,,,,,,,,,,,,,,,,
CALSYL,,,,,,,,,,,,,,,,,,,,0.000200649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COSDUB,,,,,0.000339559,,,,,,,,,,,0.002376913,,,,,,,,,,,,,,,,,,,,,,,0.000679118,,,,,,,,,,
CRAMON,8.32E-05,,0.000216252,0.0001664,,,,,,,,,1.66E-05,,0.0006652,,,4.99E-05,6.65E-05,,,,0.001512936,,,1.66E-05,,,,,0.0001164,,3.33E-05,,,,,,,,,,0.0001328,,0.0002825,,,4.99E-05,
IMPETI,,,,,,0.000699301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMPFRI,,,,,,,,,,,,,,,,0.000103498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMPHIA,,,,,,,,,,,,,,,,0.000506343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMPMAC,,,,,,,,0.020368572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001939864,,,,,,,,
IMPMAN,,0.000114194,,,,,,,,,0.001598718,0.000228388,,,,,,,,,,,,,,,,,,,,,,,0.000114194,,,,,0.000342582,,,,,,,,,
IMPNIA,,,,,,0.000273786,,,,,,,,,,0.000958251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEEGUI,,,0.009555189,0.034596372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MELSCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000179565,,,,,,,,,,,,,,0.000179565,,0.000179565,0.000179565,0.003411735,
MUSTEN,,,,,,,,,,,,,,,,,,,,,,0.000195695,,,,,,,0.000195695,,,,,,,,,,,,,,,,,,,,
PIPCAP,,,2.5E-05,,,,,,,,,,,,,,,,,,3.13E-06,0.000450095,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSYSP1,,,,,,,,,,,,,,0.000534416,,,,,,,,,,,0.000106883,,0.001229032,0.000267208,,,,0.000267208,,,,,,,,,,,,,,,,,
PSYTHO,,,,,,,,,,0.000454231,,,,,,,,,,,,,,,,,0.000519131,,,,,,,,,,,,,,0.001492482,0.000129777,,,,,,,
SABPIL,,,,,,,,,,,,,,,,0.00258866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOLSP1,,,,,,,,,,,,,,,,,,,,,,0.000202061,,,,,,,,,,,,,,,,,,,0.003435037,,,,,,,,
THOSAN,,,,,,,,,,,,,,,,0.004051698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THUFAS,,,0.000979752,,0.000163292,0.000163292,0.000163292,0.005388636,0.000163292,,,,,,,0.000163292,,,,,,,,0.000326584,,,,,,,,,,,,,,,,,0.000163292,,,,,,,,0.000163292
